Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Average Cadence","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Indoor Walking","2022-04-16 14:06","2022-04-16 14:42","0:36:29","2.3577898778074804","126.59803921568627","149","0:15:28","3.876708930011574","181.93835823058575","177.10099999999971","263.4909999999993",,,"7.999999788072387","36"
"Yoga","2022-04-11 06:48","2022-04-11 07:12","0:24:47",,"108.42181818181818","165",,,,"105.90100000000012","145.95800000000008",,,"-0.9999999735090341","80"
"Outdoor Running","2022-04-10 11:13","2022-04-10 11:29","0:15:47","2.6820925875783432","184.4820143884892","201","0:05:53","10.190971084409679","277.02709025188335","157.1820000000002","196.44300000000015","27.34",,"2.9999999205271592","64"
"Outdoor Walking","2022-04-05 11:59","2022-04-05 12:20","0:20:49","1.3458608900994837","89.6875","114","0:15:28","3.876185391745312","197.92951518032362","50.86199999999999","97.58799999999997",,,"6.999999814563353","43"
"Outdoor Walking","2022-04-03 18:50","2022-04-03 19:22","0:31:57","2.502639666253235","120.89322916666667","137","0:12:46","4.697794867739233","202.63962466701253","120.81699999999996","183.84699999999992","16.53",,"10.999999708599546","42"
"Outdoor Walking","2022-04-03 11:48","2022-04-03 12:20","0:32:39","2.58875142935093","126.29177718832891","155","0:12:36","4.757160031695511","220.98476025323075","140.96399999999983","204.50799999999978","32.910000000000004",,"8.999999761581478","52"
"Outdoor Walking","2022-04-01 17:51","2022-04-01 18:20","0:29:08","2.1843435244452296","120.14285714285714","165","0:13:20","4.498326833221237","197.92511127897956","101.6530000000002","161.44900000000018","2.82",,"10.999999708599546","41"
"Outdoor Walking","2022-04-01 10:02","2022-04-01 10:49","0:46:53","3.57042474975076","115.00347222222223","126","0:13:08","4.568355515648056","171.9086846241316","139.82700000000028","227.83500000000055","16.01",,"5.9999998410543185","56"
"Outdoor Walking","2022-03-31 08:37","2022-03-31 09:00","0:22:16","1.598545681466113","122.15","147","0:13:56","4.304728750063659","189.84806011166881","91.206","138.83499999999998",,,"2.9999999205271592","68"
"Outdoor Walking","2022-03-30 09:51","2022-03-30 10:09","0:17:51","1.2971432306327624","110.41176470588235","118","0:13:45","4.359076620608517","201.63123937279175","56.962000000000074","101.76200000000004","2.66",,"9.999999735090512","59"
"Indoor Cycling","2022-03-29 21:02","2022-03-29 21:36","0:33:42",,"125.05597964376591","137",,,,"237.63799999999938","303.5479999999993",,,"10.999999708599546","51"
"Outdoor Walking","2022-03-29 15:45","2022-03-29 16:11","0:25:29","1.9562067933798535","101.468","119","0:13:02","4.603540332075551","206.12612306266018","78.12800000000001","132.60199999999998","6.5",,"17.9999995231629","30"
"Outdoor Walking","2022-03-29 08:54","2022-03-29 09:24","0:29:22","2.4459882984340657","110.48850574712644","133","0:12:00","4.99498899289088","210.52416911230577","120.72200000000043","180.94100000000037","12.540000000000001",,"7.999999788072387","59"
"Functional Strength Training","2022-03-29 05:45","2022-03-29 06:05","0:20:08",,"142.03076923076924","174",,,,"110.69100000000005","139.723",,,"6.999999814563353","67"
"Indoor Cycling","2022-03-28 20:00","2022-03-28 20:21","0:21:28",,"121.33064516129032","137",,,,"136.999","185.96899999999997",,,"13.999999629126705","42"
